name,Category,address,years,Music,description
Club ZMF,Mitte,"Brunnenstraße 10, 10119 Berlin",2002–2013,"house, electro, techno, indie/britpop",Low‑ceilinged basement ‘Zur Möbelfabrik’ near Rosenthaler Platz; raw post‑reunification vibe.
Eimer Club - „Kulturhaus I.M. Eimer“,Mitte,"Rosenthaler Straße 68, 10119 Berlin",1990–2003,"punk/alternative, experimental, performance art, early techno","Legendary squat venue at Rosenthaler Straße that became a crucible for Berlin’s post‑wall art, noise and club culture."
Maria am Ostbahnhof,Friedrichshain,"Stralauer Platz 29 (later Schillingbrücke 1), 10243 Berlin",late 1990s–2010 (closed),"techno, house, drum & bass, breakbeat",Riverside club by Ostbahnhof known for big international bookings and DnB/techno nights; successor to Maria am Ufer.
Boudoir,Mitte,"Brunnenstraße 192, 10119 Berlin",1992–1995,art/performance salon; eclectic music,Lena Braun’s legendary walk‑in art installation and salon space in a former soap factory.
90 Grad,Tiergarten/Schöneberg (City West),"Dennewitzstraße 37, 10785 Berlin",1989–2008,"house, disco, pop",Stylish West‑Berlin/City‑West nightspot and Love‑Parade after‑party fixture at Gleisdreieck.
Bunker,Mitte,"Reinhardtstraße 20 (corner Albrechtstraße), 10117 Berlin",1992–1997,"hardcore/gabber, techno; fetish/afterhours",Infamous multi‑floor techno bunker (Reinhardtstraße/Albrechtstraße); later converted to the Boros art collection.
E-Werk,Mitte,"Wilhelmstraße 43, 10117 Berlin",1993–1997,"techno, trance, house",Influential 90s techno club in a listed 1920s substation near Checkpoint Charlie; Friday ‘Dubmission’ nights with Paul van Dyk.
Griessmühle,Neukölln,"Sonnenallee 221, 12059 Berlin",2012–2020,"techno, house",Cult DIY club in a former pasta factory next to the canal; evicted in 2020 amid redevelopment.
Kater Holzig,Mitte,"Michaelkirchstraße 23, 10179 Berlin",2011–2013,"house, techno, disco",Follow‑up to Bar25 on the Spree; wild riverside complex that bridged to the later Holzmarkt/Kater Blau era.
SchwuZ,Neukölln,"Rollbergstraße 26, 12053 Berlin",1977–present (at Rollbergstraße since 2013),"pop, indie, electro, queer classics",Germany’s oldest queer club and major cultural institution; multi‑floor LGBTQIA+ parties and shows.
K17 / Nuke Club,Friedrichshain,"K17: Pettenkoferstraße 17a; NUKE: Pettenkoferstraße 17a/16, 10247 Berlin",K17: 2001–2012; Nuke Club: 2016–present,"goth, EBM, metal, industrial",Long‑running dark‑scene venue: K17’s townhouse labyrinth evolved into today’s NUKE Club nearby.
Knaack,Prenzlauer Berg,"Greifswalder Straße 224, 10405 Berlin",1952–2010,"rock, indie, punk; later concerts across genres",Historic youth/rock club of the GDR and 1990s; closed after noise disputes but slated for a new cultural house.
Planet,Mitte,"Köpenicker Straße area (two locations), 10179 Berlin",1991–1993,"house, techno, breakbeat",Short‑lived but pivotal early‑90s club (two locations) whose crew later helped found E‑Werk.
UFO,Kreuzberg,"Köpenicker Straße 6, 10997 Berlin",1988–1990,"acid house, early techno",First acid house club in Berlin; tiny basement on Köpenicker Str. before moving to Großgörschenstraße (Ufo 2).
WMF,Mitte,"Multiple (e.g., Leipziger Str. 112; Burgstr. 28; Johannisstr. 20; Ziegelstr. 22; Karl‑Marx‑Allee 34; Littenstr. 109; Klosterstr. 44)",1991–2010 (across several locations),"house, techno, hip‑hop (early), drum’n’bass",Nomadic club brand that moved through eight locations; central to 90s/00s Berlin club culture.
Bar 25,Friedrichshain,"Holzmarktstraße (riverside, near Ostbahnhof), 10243 Berlin",2003–2010,"minimal/house, techno",Open‑air club on the Spree famed for marathon after‑hours and a bohemian village vibe.
Dschungel,Schöneberg (West‑Berlin),"Nürnberger Straße 53 (50–55 complex), 10789 Berlin",1978–1993,"disco, new wave, pop",West‑Berlin’s Studio‑54‑style icon; celebrity magnet that defined the late‑70s/80s scene.
